budget,delai,successeful
69,1,1
31,2,1
11,3,1
62,4,1
39,5,0
67,6,0
8,7,1
94,8,0
62,9,0
31,10,1
91,11,0
86,12,1
73,13,1
33,14,0
31,15,0
90,16,1
22,17,0
4,18,1
69,19,1
45,20,1
69,21,1
78,22,1
47,23,0
76,24,1
35,25,1
62,26,0
12,27,0
41,28,0
13,29,1
5,30,0
94,31,1
72,32,1
95,33,0
32,34,0
88,35,1
23,36,0
31,37,0
63,38,1
11,39,1
94,40,1
82,41,1
14,42,1
35,43,0
76,44,0
59,45,0
66,46,1
49,47,1
7,48,0
47,49,1
61,50,0
86,51,1
60,52,0
44,53,1
58,54,1
71,55,0
80,56,1
72,57,1
94,58,0
8,59,1
66,60,1
25,61,0
80,62,1
55,63,1
80,64,1
78,65,1
93,66,1
52,67,1
46,68,0
37,69,0
72,70,0
10,71,0
97,72,1
77,73,1
36,74,0
84,75,1
67,76,1
36,77,1
77,78,0
54,79,0
19,80,1
3,81,0
87,82,1
16,83,0
45,84,0
69,85,0
80,86,0
75,87,1
13,88,1
34,89,0
57,90,1
51,91,1
64,92,0
50,93,0
56,94,0
83,95,1
84,96,1
58,97,0
26,98,0
35,99,1
95,100,1
32,101,1
88,102,1
76,103,0
80,104,1
9,105,0
41,106,1
50,107,0
75,108,0
87,109,0
79,110,0
3,111,1
60,112,1
10,113,1
1,114,1
18,115,1
76,116,0
70,117,1
28,118,0
23,119,0
37,120,0
30,121,0
76,122,0
88,123,0
57,124,0
94,125,1
95,126,0
73,127,0
42,128,1
22,129,1
18,130,1
17,131,0
31,132,1
80,133,0
95,134,1
19,135,1
40,136,0
3,137,0
1,138,0
74,139,1
66,140,0
97,141,1
35,142,0
23,143,1
94,144,0
64,145,1
11,146,1
4,147,0
97,148,1
95,149,0
89,150,0
46,151,0
48,152,0
59,153,0
24,154,0
82,155,1
97,156,1
83,157,0
44,158,0
64,159,0
13,160,1
22,161,0
44,162,0
18,163,1
36,164,1
5,165,1
49,166,0
8,167,0
34,168,1
12,169,1
30,170,0
88,171,0
76,172,0
56,173,0
35,174,1
89,175,0
89,176,1
21,177,0
96,178,1
36,179,1
79,180,1
50,181,1
17,182,0
21,183,1
39,184,0
36,185,1
73,186,0
48,187,0
25,188,1
15,189,0
60,190,0
97,191,1
30,192,0
55,193,0
13,194,0
25,195,1
6,196,0
35,197,1
26,198,0
58,199,0
42,200,1
25,201,1
75,202,1
85,203,0
57,204,1
44,205,1
9,206,0
34,207,1
61,208,0
24,209,1
93,210,0
46,211,1
38,212,1
76,213,0
26,214,0
68,215,1
58,216,0
60,217,1
36,218,0
41,219,0
40,220,1
9,221,0
39,222,0
35,223,1
24,224,1
88,225,1
30,226,1
79,227,0
97,228,1
15,229,0
94,230,1
91,231,1
63,232,0
94,233,0
1,234,1
60,235,1
50,236,1
34,237,1
3,238,1
76,239,1
100,240,1
22,241,1
8,242,1
77,243,0
4,244,0
81,245,0
58,246,0
51,247,0
45,248,0
4,249,1
85,250,0
96,251,1
91,252,0
31,253,1
11,254,1
23,255,1
53,256,1
49,257,0
83,258,1
27,259,1
15,260,1
49,261,1
68,262,1
31,263,0
62,264,0
51,265,0
24,266,0
76,267,0
60,268,0
98,269,0
51,270,1
